,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
Costa Rica,CRI,11,2,18.20%,12,3,25.00%,10,2,20.00%,7,4,57.10%,6,1,16.70%,9,1,11.10%,,0,0.00%,8,4,50.00%,17,24.30%
Croatia,HRV,22,14,63.60%,46,19,41.30%,46,20,43.50%,50,27,54.00%,61,29,47.50%,48,23,47.90%,49,30,61.20%,43,28,65.10%,190,52.10%
Cuba,CUB,99,77,77.80%,91,72,79.10%,139,93,66.90%,93,65,69.90%,91,72,79.10%,86,58,67.40%,81,48,59.30%,60,45,75.00%,530,71.60%
Cyprus,CYP,,0,0.00%,10,2,20.00%,13,2,15.40%,13,2,15.40%,13,5,38.50%,10,4,40.00%,12,6,50.00%,9,5,55.60%,26,28.90%
Czech Republic,CZE,,0,--,105,50,47.60%,96,49,51.00%,105,52,49.50%,101,43,42.60%,98,56,57.10%,98,45,45.90%,79,32,40.50%,327,47.90%
Czechoslovakia,CSK,135,61,45.20%,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,61,45.20%
Democratic People's Republic of Korea,PRK,61,28,45.90%,26,11,42.30%,29,17,58.60%,34,18,52.90%,48,22,45.80%,35,23,65.70%,33,25,75.80%,,0,--,144,54.10%
Democratic Republic of the Congo,ZAR,14,2,14.30%,3,1,33.30%,,0,0.00%,,0,0.00%,3,1,33.30%,3,1,33.30%,3,1,33.30%,6,2,33.30%,8,22.20%
Democratic Republic of Timor-Leste,TMP,,0,--,,0,--,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,--,0,0.00%
Denmark,DNK,84,46,54.80%,80,45,56.30%,72,43,59.70%,67,39,58.20%,62,37,59.70%,83,53,63.90%,77,53,68.80%,64,40,62.50%,356,60.40%
Djibouti,DJI,,0,0.00%,,0,0.00%,,0,0.00%,,0,--,,0,--,4,1,25.00%,4,2,50.00%,1,1,100.00%,4,21.10%
Dominica,DMA,,0,--,,0,0.00%,,0,0.00%,,0,--,,0,--,,0,--,,0,--,1,1,100.00%,1,25.00%
Dominican Republic,DOM,13,4,30.80%,13,4,30.80%,6,2,33.30%,13,7,53.80%,18,10,55.60%,17,9,52.90%,16,7,43.80%,24,17,70.80%,60,50.00%
Ecuador,ECU,,0,0.00%,20,3,15.00%,9,3,33.30%,14,4,28.60%,22,7,31.80%,32,14,43.80%,37,11,29.70%,41,15,36.60%,57,30.50%
Egypt,EGY,37,5,13.50%,18,6,33.30%,60,18,30.00%,48,21,43.80%,62,23,37.10%,81,32,39.50%,87,34,39.10%,91,42,46.20%,181,37.40%
El Salvador,SLV,4,1,25.00%,8,1,12.50%,8,1,12.50%,7,2,28.60%,14,3,21.40%,10,1,10.00%,10,2,20.00%,,0,0.00%,11,17.50%
Equatorial Guinea,GNQ,,0,--,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,--,,0,0.00%,,0,--,0,0.00%
Eritrea,ERI,,0,--,,0,--,,0,--,3,2,66.70%,8,4,50.00%,9,3,33.30%,10,5,50.00%,12,4,33.30%,18,42.90%
Estonia,EST,34,14,41.20%,37,14,37.80%,33,10,30.30%,31,7,22.60%,39,8,20.50%,24,8,33.30%,36,16,44.40%,28,12,42.90%,89,34.00%
Eswatini,ETH,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,0.00%,0,0.00%
Ethiopia,ETF,15,5,33.30%,14,7,50.00%,23,18,78.30%,21,16,76.20%,21,17,81.00%,30,21,70.00%,28,20,71.40%,25,16,64.00%,120,67.80%
Federated States of Micronesia,FSM,,0,--,,0,--,,0,0.00%,3,1,33.30%,3,1,33.30%,4,1,25.00%,3,1,33.30%,,0,--,4,23.50%
Fiji,FIJ,27,1,3.70%,9,1,11.10%,6,2,33.30%,5,1,20.00%,4,2,50.00%,7,2,28.60%,12,4,33.30%,5,2,40.00%,15,20.00%
Finland,FIN,94,43,45.70%,77,32,41.60%,61,24,39.30%,46,18,39.10%,53,21,39.60%,54,19,35.20%,47,18,38.30%,28,16,57.10%,191,41.50%
